player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
Tjark Ernst,Hertha Berlin,21, GK,1,90,0,0,0,0,0.0,69.0,0.0,0,7.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,0.0,7.0,0.0,,,,,
Jude Bellingham,Borussia Dortmund,20, M(CLR),30(1),2693,8,4,8,0,2.2,83.1,1.1,6,7.58,2.5,1.1,1.3,0.0,0.9,0.5,0.1,0,1.1,2.8,2.4,0.1,1.9,2.0,51.2,0.2,3.7,0.2,8.54,-0.54,0.29,67.0,0.13
Joshua Kimmich,Bayern Munich,29," D(CR),DMC,M(R)",32(1),2815,5,6,4,1,0.8,89.7,0.5,4,7.47,2.4,1.2,0.7,0.0,1.1,1.0,0.2,0,2.6,0.4,1.5,0.0,0.8,0.8,75.5,2.2,4.8,0.3,2.01,2.99,0.06,28.0,0.07
Niclas Füllkrug,Werder Bremen,31, FW,28,2479,16,5,4,0,2.8,63.7,5.5,5,7.38,0.3,0.0,1.2,0.0,0.9,0.4,0.1,0,1.2,1.1,1.7,1.0,1.8,2.6,32.3,0.1,1.5,0.0,13.49,2.51,0.49,79.0,0.17
Christopher Nkunku,RB Leipzig,26," M(CLR),FW",20(5),1899,16,4,4,0,3.0,81.8,0.7,8,7.35,0.2,0.3,0.7,0.0,0.4,0.2,0.1,0,1.6,1.5,1.5,0.5,1.5,1.8,23.8,0.2,1.2,0.2,15.7,0.3,0.74,74.0,0.21
Jamal Musiala,Bayern Munich,21, M(CLR),26(7),2212,12,10,1,0,2.0,85.4,0.4,4,7.34,1.0,0.6,0.7,0.0,0.1,0.7,0.1,0,1.6,2.3,1.3,0.0,2.1,2.4,30.0,0.1,0.5,0.1,8.73,3.27,0.36,65.0,0.13
Dominik Szoboszlai,RB Leipzig,23, AM(CLR),28(3),2453,6,8,3,2,1.9,83.0,0.2,4,7.32,1.5,0.5,0.8,0.0,0.7,0.8,0.1,0,2.3,1.7,1.3,0.1,1.1,1.8,45.2,1.5,2.5,0.3,4.88,1.12,0.18,59.0,0.08
Randal Kolo Muani,Eintracht Frankfurt,25," AM(CLR),FW",31(1),2648,15,11,4,1,2.4,67.0,1.9,10,7.29,0.4,0.1,1.6,0.0,0.4,0.3,0.1,0,1.3,2.2,2.2,0.7,2.0,3.4,19.3,0.1,0.4,0.1,14.91,0.09,0.51,77.0,0.19
Julian Brandt,Borussia Dortmund,28," M(CLR),FW",29(3),2412,9,8,2,0,1.3,83.8,0.3,3,7.28,0.9,0.5,0.3,0.0,0.3,1.0,0.0,0,2.3,1.3,0.7,0.2,1.1,1.6,37.0,1.5,1.8,0.1,4.84,4.16,0.18,42.0,0.12
Raphaël Guerreiro,Borussia Dortmund,30," D(L),M(CL)",26(1),2296,4,12,4,0,1.2,85.1,0.2,3,7.27,1.3,1.3,0.3,0.3,0.8,0.5,0.1,0,2.1,1.0,0.4,0.1,0.7,1.0,56.7,1.1,1.5,0.1,2.57,1.43,0.1,33.0,0.08
