Club,Squad,Avg age,Foreigners,Avg market values,Total Market Values
Bayern Munich,35,25.3,22,€27.11m,€948.95m
Borussia Dortmund,37,24.6,19,€15.34m,€567.55m
RB Leipzig,29,25.6,19,€16.77m,€486.40m
Bayer 04 Leverkusen,35,24.2,25,€12.93m,€452.50m
Eintracht Frankfurt,36,25.0,22,€9.02m,€324.55m
Borussia Mönchengladbach,35,25.4,16,€6.91m,€241.68m
VfL Wolfsburg,33,24.7,20,€7.22m,€238.30m
SC Freiburg,29,26.0,11,€6.93m,€200.95m
TSG 1899 Hoffenheim,37,25.8,21,€4.83m,€178.80m
1.FC Union Berlin,36,26.9,17,€4.39m,€157.95m
VfB Stuttgart,39,23.2,21,€3.87m,€151.05m
1.FSV Mainz 05,34,24.7,17,€3.99m,€135.80m
FC Augsburg,42,25.0,24,€3.15m,€132.23m
1.FC Köln,39,24.9,16,€2.97m,€115.65m
Hertha BSC,41,25.4,22,€2.29m,€94.00m
SV Werder Bremen,33,24.7,10,€2.71m,€89.50m
FC Schalke 04,43,26.4,22,€2.04m,€87.78m
VfL Bochum,32,27.7,18,€1.68m,€53.70m
