,Unnamed: 0,team_name,P,W,D,L,GF,GA,GD,Pts,Goals_x,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shoted pg,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg,xG,Goals_y,xGDiff,Shots,xG/shots,shotsTotal,shot0boxTotal,shotSixYardBox,shotPentaltyArea
0,0,Napoli,38,28,6,4,77,28,49,90,77,16.2,47,1,62.1,87.8,12.8,6.81,9.6,15,7.6,10.2,1.6,5.9,5.9,5.9,68.51,75,6.49,615,0.11,16.2,5.1,1.3,9.8
1,1,Lazio,38,22,8,8,60,30,30,74,60,11.5,87,2,52.2,85.4,10.7,6.74,12.2,15.3,8.2,10.5,1.4,4.5,4.5,4.5,50.61,59,8.39,438,0.12,11.5,4.2,0.8,6.6
2,2,Inter,38,23,3,12,71,42,29,72,71,16.6,62,3,55.7,85.6,13.3,6.71,11.2,15.1,8.3,11.7,1.8,5.4,5.4,5.4,70.43,68,-2.43,630,0.11,16.6,5.6,1.7,9.3
3,3,AC Milan,38,20,10,8,64,43,21,70,64,14.5,86,2,55.6,82.6,14.8,6.7,10.7,18.2,7.6,11.8,1.6,4.9,4.9,4.9,65.33,61,-4.33,551,0.12,14.5,5.3,1,8.2
4,4,Atalanta,38,19,7,12,66,48,18,64,66,13.5,81,3,49.9,80.6,15.2,6.67,11.8,16.7,11.1,12.4,1.5,4.7,4.7,4.7,60.26,64,3.74,514,0.12,13.5,4.7,0.8,8
5,5,Roma,38,18,9,11,50,38,12,63,50,13.1,78,4,48.1,81.3,14.4,6.64,10.4,16.4,9.7,11.7,1.5,4.4,4.4,4.4,60.17,50,-10.17,498,0.12,13.1,4.5,1.4,7.2
6,6,Juventus,38,22,6,10,56,33,23,62,56,14.1,72,6,49.4,83.6,12.8,6.71,12.3,15.6,8.1,12,1.6,4.7,4.7,4.7,56.71,56,-0.71,535,0.11,14.1,4.9,1.2,8
7,7,Fiorentina,38,15,11,12,53,43,10,56,53,15.9,89,3,56.4,82.3,15.5,6.6,9.1,15.3,6.8,12.8,1.5,4.9,4.9,4.9,58.79,51,-7.79,603,0.1,15.9,5.7,0.9,9.2
8,8,Bologna,38,14,12,12,53,49,4,54,53,12.8,81,3,55.0,83.0,9.8,6.6,12.7,17,7.9,12.6,2,4.2,4.2,4.2,47.01,52,4.99,485,0.1,12.8,5.9,1,5.9
9,9,Torino,38,14,11,13,42,41,1,53,42,11.7,81,0,53.3,81.1,15.6,6.57,11.4,12.4,7.7,13.3,2.1,3.9,3.9,3.9,47.11,41,-6.11,446,0.11,11.7,3.7,0.9,7.1
10,10,Monza,38,14,10,14,48,52,-4,52,48,10.8,88,4,55.6,84.6,11.8,6.55,12.8,15.7,8.8,12.9,1.8,3.8,3.8,3.8,45.94,46,0.06,412,0.11,10.8,3.9,0.9,6.1
11,11,Udinese,38,11,13,14,47,48,-1,46,47,13.3,86,3,47.5,81.8,12.7,6.58,12.3,17.1,8.3,12.6,1.3,4,4,4,47.98,46,-1.98,505,0.1,13.3,5.4,0.8,7.1
12,12,Sassuolo,38,12,9,17,47,61,-14,45,47,12.8,84,6,49.1,82.5,9.9,6.48,12.7,13.2,7.3,10.7,1.1,4.5,4.5,4.5,51.48,46,-5.48,487,0.11,12.8,4.6,0.7,7.5
13,13,Empoli,38,10,13,15,37,49,-12,43,37,11.8,82,7,47.1,80.3,11.5,6.53,16.1,15.9,7.4,11.6,1.4,3.4,3.4,3.4,40.85,35,-5.85,449,0.09,11.8,4.7,0.8,6.3
14,14,Salernitana,38,9,15,14,48,62,-14,42,48,10.1,84,4,44.6,78.7,14.0,6.51,15.6,15.4,8.7,12.4,1.8,3.1,3.1,3.1,35.84,46,10.16,383,0.09,10.1,4.3,0.7,5
15,15,Lecce,38,8,12,18,33,46,-13,36,33,11.0,85,2,40.8,72.4,14.9,6.49,11.8,18.6,9.7,14.6,1.8,3,3,3,37.35,31,-6.35,418,0.09,11,4.7,0.6,5.7
16,16,Spezia,38,6,13,19,31,62,-31,31,31,11.1,95,6,46.9,77.1,14.1,6.43,15.8,16.4,7.9,13.7,1.4,3.3,3.3,3.3,41.76,29,-12.76,423,0.1,11.1,4.6,0.8,5.7
17,17,Verona,38,7,10,21,31,59,-28,31,31,10.9,104,3,40.5,70.7,21.4,6.47,14.2,15.9,8.9,14.2,2,3.2,3.2,3.2,37.4,29,-8.4,416,0.09,10.9,4.6,0.9,5.4
18,18,Cremonese,38,5,12,21,36,69,-33,27,36,12.2,81,3,41.4,75.0,14.8,6.47,15.3,18.5,10.3,12.1,1.8,3.5,3.5,3.5,37.88,35,-2.88,465,0.08,12.2,4.7,0.5,7.1
19,19,Sampdoria,38,3,10,25,24,71,-47,19,24,9.9,104,3,45.6,78.2,16.4,6.41,15.8,15.5,8.3,13.3,1.4,3.1,3.1,3.1,34.83,23,-11.83,378,0.09,9.9,3.7,0.5,5.8
